"","probability_of_goal","is_goal","matchId","lastName","eventSec","angle","x","y","is_through","is_counter","preceding_pass","rank"
"4187",0.50351914063527,1,2500031,"Alli",1223.724125,67.3750537854119,95,52,0,0,"Ground loose ball duel",109
"3247",0.500661077468002,1,2499961,"Benteke Liolo",1385.989532,52.6305482654203,93,49,0,1,"Air duel",110
"4531",0.490673425163128,0,2500058,"Diouf",649.837366,51.7090253924358,93,48,0,1,"Cross",111
"2215",0.474487457886273,0,2499886,"Vardy",1809.23298,43.6026416947046,92,46,0,1,"Simple pass",112
"634",0.474487457886273,0,2499764,"Lukaku Menama",1531.04736,43.6026416947046,92,54,0,1,"Ground defending duel",113
"3633",0.47240545478185,1,2499990,"San\u00e9",1951.642216,64.5020280569202,95,47,0,0,"Ground loose ball duel",114
"4221",0.47240545478185,0,2500034,"Mata Garc\u00eda",703.197582,64.5020280569202,95,53,0,0,"High pass",115
"937",0.467653358820298,0,2499787,"Hegazy",1892.973924,70.6732149611668,97,45,0,0,"Air duel",116
"1681",0.467653358820298,1,2499845,"Austin",411.968931,70.6732149611668,97,45,0,0,"Air duel",117
"2849",0.467653358820298,1,2499931,"Klavan",2889.333658,70.6732149611668,97,45,0,0,"Air duel",118
"3415",0.467653358820298,1,2499973,"Diam\u00e9",1302.05214,70.6732149611668,97,45,0,0,"Simple pass",119
"2441",0.467653358820296,0,2499902,"Christensen",2095.900958,70.6732149611667,97,55,0,0,"Air duel",120
"5009",0.467653358820296,1,2500098,"Niasse",1737.064842,70.6732149611667,97,55,0,0,"Ground defending duel",121
"2431",0.460890838410658,0,2499901,"Dannemann Eriksen",226.189166,42.3429295646948,91,50,0,1,"Simple pass",122
"544",0.457853163147496,0,2499757,"Sanmart\u00edn Mato",2082.828286,69.7640107922818,95,50,0,0,"Air duel",123
"1509",0.457853163147496,1,2499832,"Cork",1732.367573,69.7640107922818,95,50,0,0,"Cross",124
"1679",0.457853163147496,0,2499845,"van Dijk",2433.78322,69.7640107922818,95,50,0,0,"Air duel",125
"1835",0.457853163147496,0,2499857,"Otamendi",1162.654424,69.7640107922818,95,50,0,0,"Air duel",126
"3739",0.457853163147496,1,2499998,"Dawson",1124.196256,69.7640107922818,95,50,0,0,"Air duel",127
"3931",0.453992969679403,1,2500011,"van Aanholt",2658.100463,62.7939113776023,96,45,0,0,"Simple pass",128
"1029",0.453510826504097,1,2499794,"de Jesus",600.705526,41.6570391907582,91,48,0,1,"Cross",129
"2823",0.453282056274127,1,2499930,"Murray",140.051082,48.2469302917886,93,54,1,1,"Smart pass",130
"426",0.452415186825088,1,2499749,"Tackie Mensah Welbeck",340.225954,69.2582462190328,96,46,0,0,"Cross",131
"1147",0.452415186825088,0,2499804,"Long",1690.543773,69.2582462190328,96,46,0,0,"Cross",132
"1563",0.452415186825088,1,2499836,"Martial",2202.59325,69.2582462190328,96,46,0,0,"Air duel",133
"2540",0.452415186825088,0,2499910,"Bakayoko",1087.044883,69.2582462190328,96,46,0,0,"Head pass",134
"4418",0.452415186825088,1,2500049,"Long",490.414371,69.2582462190328,96,46,0,0,"Air duel",135
"3206",0.452415186825088,0,2499957,"Barbosa de Oliveira",2941.965607,69.2582462190328,96,54,0,0,"Cross",136
"3527",0.452415186825088,1,2499982,"Ag\u00fcero del Castillo",163.321811,69.2582462190328,96,54,0,0,"Cross",137
"4120",0.452415186825088,0,2500027,"Gayle",1691.893432,69.2582462190328,96,54,0,0,"Air duel",138
"43",0.451354475181939,1,2499721,"Morata Mart\u00edn",1384.099487,69.1594742809427,95,49,0,0,"Cross",139
"1580",0.451354475181939,0,2499837,"Arnautovi\u0107",2837.017983,69.1594742809427,95,49,0,0,"Ground loose ball duel",140
"3149",0.451354475181939,0,2499953,"Deeney",2042.812786,69.1594742809427,95,49,0,0,"Air duel",141
"3288",0.451354475181939,0,2499964,"Sanmart\u00edn Mato",170.795679,69.1594742809427,95,49,0,0,"Air duel",142
"916",0.451354475181939,0,2499785,"Oxlade-Chamberlain",2575.980427,69.1594742809427,95,51,0,0,"Air duel",143
"1426",0.432276865862846,0,2499826,"Ayew",414.763554,67.375053785412,95,48,0,0,"Ground loose ball duel",144
"2083",0.432276865862846,0,2499876,"Mawson",157.937794,67.375053785412,95,48,0,0,"Air duel",145
"3024",0.432276865862846,0,2499944,"Rashford",2335.18266,67.375053785412,95,48,0,0,"Simple pass",146
"4092",0.432276865862846,0,2500025,"Keane",747.341938,67.375053785412,95,48,0,0,"Ground loose ball duel",147
"4233",0.432276865862846,1,2500035,"P\u00e9rez Guti\u00e9rrez",2076.13433,67.375053785412,95,48,0,0,"Simple pass",148
"238",0.432276865862846,0,2499736,"Jones",543.920422,67.3750537854119,95,52,0,0,"Air duel",149
"250",0.432276865862846,0,2499737,"Morata Mart\u00edn",257.754754,67.3750537854119,95,52,0,0,"Cross",150
"506",0.432276865862846,1,2499754,"de Jesus",3010.214354,67.3750537854119,95,52,0,0,"Cross",151
"1332",0.432276865862846,0,2499819,"Rashford",468.889578,67.3750537854119,95,52,0,0,"Air duel",152
"1901",0.432276865862846,0,2499861,"Murray",155.337309,67.3750537854119,95,52,0,0,"Cross",153
"2087",0.432276865862846,0,2499876,"Mawson",2300.183626,67.3750537854119,95,52,0,0,"Air duel",154
"2585",0.432276865862846,0,2499912,"Mouni\u00e9",669.364379,67.3750537854119,95,52,0,0,"Cross",155
"4035",0.432276865862846,0,2500021,"McArthur",1709.808769,67.3750537854119,95,52,0,0,"Cross",156
"796",0.431629316962483,1,2499776,"Morata Mart\u00edn",1918.798569,46.2221783629251,95,43,0,1,"Ground attacking duel",157
"1812",0.431604718929128,0,2499855,"Rodr\u00edguez Ledesma",2458.878135,60.7006918819831,95,54,0,0,"Cross",158
"2937",0.431604718929128,0,2499938,"Carroll",58.2936930000001,60.7006918819831,95,54,0,0,"Cross",159
"4905",0.431604718929128,0,2500091,"Kola\u0161inac",1569.97429,60.7006918819831,95,46,0,0,"Ground loose ball duel",160
"2646",0.430744117263847,1,2499916,"Kane",1294.855828,39.5277549333565,94,42,0,1,"Ground attacking duel",161
"266",0.427919417038509,0,2499738,"Arnautovi\u0107",963.739269,45.8730277581404,93,45,0,1,"Cross",162
"2057",0.427444417128025,0,2499873,"Lukaku Menama",2338.515571,60.3090958358323,94,50,0,0,"Cross",163
"473",0.426925408733267,0,2499752,"Kane",901.474183,60.2601765931853,97,44,0,0,"Cross",164
"2161",0.426925408733267,1,2499881,"Jim\u00e9nez Silva",419.322978,60.2601765931853,97,44,0,0,"Ground defending duel",165
"3408",0.426925408733267,0,2499972,"Sterling",1528.632362,60.2601765931853,97,44,0,0,"Cross",166
"1045",0.426925408733266,0,2499795,"Sanmart\u00edn Mato",64.3714530000002,60.2601765931852,97,56,0,0,"Ground attacking duel",167
"3444",0.426925408733266,1,2499975,"Salah Ghaly",2736.268197,60.2601765931852,97,56,0,0,"Ground attacking duel",168
"2910",0.419477068668766,1,2499936,"P\u00e9rez Guti\u00e9rrez",1632.239267,45.0755769773625,92,53,1,1,"Smart pass",169
"2521",0.413609985359035,0,2499909,"King",930.198131,37.9076011518755,90,48,0,1,"Cross",170
"93",0.409464718433304,1,2499725,"Alli",936.753147,58.604821742648,94,48,0,0,"Cross",171
"1748",0.409464718433304,1,2499850,"Giroud",2496.069581,58.604821742648,94,52,0,0,"Ground attacking duel",172
"2025",0.409464718433304,0,2499871,"Ince",624.090556,58.604821742648,94,52,0,0,"Cross",173
"3034",0.409464718433304,0,2499945,"van der Hoorn",2139.130109,58.604821742648,94,48,0,0,"Head pass",174
"3052",0.409464718433304,1,2499946,"Kane",826.985755,58.604821742648,94,48,0,0,"Cross",175
"1578",0.404010242675112,0,2499837,"Hughes",2571.40421,43.6026416947046,92,54,0,1,"Cross",176
"3060",0.404010242675112,1,2499947,"Ward-Prowse",2629.077687,43.6026416947046,92,54,0,1,"Simple pass",177
"1369",0.402000922111923,1,2499822,"de Jesus",1735.346894,64.5020280569202,95,53,0,0,"Simple pass",178
"1432",0.402000922111923,0,2499827,"Dann",2136.464772,64.5020280569202,95,47,0,0,"Air duel",179
"1435",0.402000922111923,0,2499827,"Milivojevi\u0107",855.992932,64.5020280569202,95,47,0,0,"Air duel",180
"1817",0.402000922111923,0,2499855,"Morata Mart\u00edn",1033.175882,64.5020280569202,95,47,0,0,"Air duel",181
"2106",0.402000922111923,0,2499877,"Lamela",1635.993399,64.5020280569202,95,53,1,0,"Smart pass",182
"2197",0.402000922111923,0,2499884,"Ak\u00e9",2128.266947,64.5020280569202,95,53,0,0,"Air duel",183
"2480",0.402000922111923,1,2499905,"Depoitre",1105.395561,64.5020280569202,95,47,0,0,"Cross",184
"2755",0.402000922111923,0,2499925,"Duffy",2505.473836,64.5020280569202,95,53,0,0,"Air duel",185
"2976",0.402000922111923,0,2499941,"Benteke Liolo",1608.553072,64.5020280569202,95,47,0,0,"Air duel",186
"3113",0.402000922111923,0,2499950,"Murray",2682.313803,64.5020280569202,95,47,0,0,"Air duel",187
"3272",0.402000922111923,0,2499963,"Ndidi",563.273982,64.5020280569202,95,53,0,0,"Air duel",188
"4484",0.402000922111923,0,2500055,"Morata Mart\u00edn",1609.568047,64.5020280569202,95,47,0,0,"Air duel",189
"471",0.401745230579907,0,2499752,"Ram\u00edrez Castillo",357.604726,36.7743048022209,91,56,0,1,"Cross",190
"4995",0.400619357311738,1,2500097,"Vardy",1667.785106,36.6662139371837,95,41,1,1,"Smart pass",191
"4917",0.399917771119737,0,2500092,"Man\u00e9",1113.362778,43.2099879371462,93,56,0,1,"Simple pass",192
"2652",0.397844337224167,0,2499916,"Lamela",2251.052932,36.3993615681138,90,46,0,1,"Simple pass",193
"1942",0.391707462052126,0,2499865,"Antonio",417.309483,63.5101400914537,98,44,0,0,"Head pass",194
"4578",0.391707462052126,0,2500062,"R\u00fcdiger",711.245925,63.5101400914537,98,44,0,0,"Air duel",195
"1478",0.391707462052124,1,2499830,"S\u00e1nchez S\u00e1nchez",2461.444948,63.5101400914534,98,56,0,0,"Cross",196
"2328",0.389144385895712,0,2499894,"Benteke Liolo",181.55856,42.169742957325,91,51,0,1,"Cross",197
"1092",0.388194531489215,0,2499799,"de Andrade",179.088307,56.5583679013992,94,47,0,0,"Cross",198
"3800",0.386753730567264,0,2500001,"Mata Garc\u00eda",2631.4676,35.3263458119325,92,42,1,1,"Smart pass",199
"1277",0.385536889080866,1,2499814,"Vardy",1050.169437,41.8191268358153,92,45,0,1,"Cross",200
"267",0.385536889080866,1,2499738,"Arnautovi\u0107",2920.234529,41.8191268358153,92,55,0,1,"Cross",201
"104",0.384508033056732,0,2499726,"Gabbiadini",1052.351893,56.1997350703802,95,45,0,0,"Cross",202
"4766",0.384508033056732,0,2500079,"Wilson",950.434382,56.1997350703802,95,45,0,0,"Cross",203
"1014",0.384508033056731,0,2499793,"Can",652.231786,56.1997350703801,95,55,0,0,"Cross",204
"4539",0.384508033056731,1,2500059,"Smalling",1651.233671,56.1997350703801,95,55,0,0,"Cross",205
"1246",0.384333556241578,0,2499811,"Duffy",2478.272656,62.7939113776023,96,45,0,0,"Air duel",206
"3776",0.384333556241577,0,2500000,"Lennon",2371.687815,62.7939113776022,96,55,0,0,"Ground loose ball duel",207
"4077",0.384333556241577,0,2500024,"de Jesus",1634.130309,62.7939113776022,96,55,0,0,"Cross",208
"4220",0.384333556241577,0,2500034,"S\u00e1nchez S\u00e1nchez",573.570462,62.7939113776022,96,55,0,0,"Head pass",209
"2371",0.383873380616781,1,2499896,"Sakho",2446.079633,41.6570391907582,91,48,0,1,"Simple pass",210
"4922",0.380880153241169,0,2500092,"Salah Ghaly",1747.186915,34.7535353590572,89,52,0,1,"Simple pass",211
"2010",0.380451115858196,1,2499870,"Dann",2628.386858,55.8035707727335,96,44,0,0,"Cross",212
"3986",0.380451115858195,0,2500016,"Martins Indi",1086.859909,55.8035707727333,96,56,0,0,"Air duel",213
"2058",0.374818859120482,0,2499873,"Mota Veiga de Carvalho e Silva",2886.312809,34.1588410330963,97,41,0,1,"Ground attacking duel",214
"4049",0.374271066402486,0,2500022,"Mkhitaryan",2032.14506,34.1049083642688,90,44,0,1,"Simple pass",215
"2455",0.36565007741524,1,2499903,"Vardy",1568.062198,33.2518387713454,91,42,0,1,"Simple pass",216
"4209",0.36565007741524,1,2500033,"Sterling",2205.57375,33.2518387713454,91,58,0,1,"Cross",217
"61",0.36309608549378,0,2499722,"Benteke Liolo",2288.661605,60.7006918819831,95,54,0,0,"Air duel",218
"375",0.36309608549378,0,2499745,"Mitrovi\u0107",1862.036113,60.7006918819831,95,46,0,0,"Air duel",219
"857",0.36309608549378,0,2499780,"Giroud",2860.014155,60.7006918819831,95,54,0,0,"Ground loose ball duel",220
"1652",0.36309608549378,0,2499843,"Lukaku Menama",1374.122534,60.7006918819831,95,54,0,0,"Air duel",221
"1717",0.36309608549378,0,2499848,"Obinze Ogbonna",1516.668402,60.7006918819831,95,54,0,0,"Air duel",222
"2220",0.36309608549378,1,2499886,"Yoshida",915.819008,60.7006918819831,95,46,0,0,"Air duel",223
"2738",0.36309608549378,0,2499924,"Hoedt",1307.411156,60.7006918819831,95,54,0,0,"Air duel",224
